# /lscratch1/kbferre/app-traces/mutrino/allreduce/128/rank-000.txt
 delta	 tstmp
112121	 1511303227413530
103746	 1511303227517276
103245	 1511303227620521
103275	 1511303227723796
103278	 1511303227827074
104179	 1511303227931253
103284	 1511303228034537
103252	 1511303228137789
103209	 1511303228240998
103251	 1511303228344249
102742	 1511303228446991
102407	 1511303228549398
102416	 1511303228651814
102319	 1511303228754133
102382	 1511303228856515
102417	 1511303228958932
102367	 1511303229061299
102354	 1511303229163653
102394	 1511303229266047
102398	 1511303229368445
102405	 1511303229470850
102358	 1511303229573208
102350	 1511303229675558
102346	 1511303229777904
102476	 1511303229880380
102328	 1511303229982708
102352	 1511303230085060
102401	 1511303230187461
102361	 1511303230289822
102394	 1511303230392216
102452	 1511303230494668
102341	 1511303230597009
102318	 1511303230699327
102430	 1511303230801757
102402	 1511303230904159
102471	 1511303231006630
102299	 1511303231108929
102332	 1511303231211261
102454	 1511303231313715
102392	 1511303231416107
102384	 1511303231518491
102315	 1511303231620806
102434	 1511303231723240
102386	 1511303231825626
102432	 1511303231928058
102362	 1511303232030420
102315	 1511303232132735
102449	 1511303232235184
102259	 1511303232337443
102368	 1511303232439811
102376	 1511303232542187
102366	 1511303232644553
102435	 1511303232746988
102264	 1511303232849252
102405	 1511303232951657
102438	 1511303233054095
102431	 1511303233156526
102442	 1511303233258968
102240	 1511303233361208
102412	 1511303233463620
102388	 1511303233566008
102347	 1511303233668355
102394	 1511303233770749
102343	 1511303233873092
102369	 1511303233975461
102312	 1511303234077773
102354	 1511303234180127
102435	 1511303234282562
102363	 1511303234384925
102394	 1511303234487319
102425	 1511303234589744
102397	 1511303234692141
102351	 1511303234794492
102402	 1511303234896894
102408	 1511303234999302
102442	 1511303235101744
102360	 1511303235204104
102390	 1511303235306494
102368	 1511303235408862
102416	 1511303235511278
102388	 1511303235613666
102371	 1511303235716037
102341	 1511303235818378
102474	 1511303235920852
102349	 1511303236023201
102404	 1511303236125605
102361	 1511303236227966
102400	 1511303236330366
102349	 1511303236432715
102424	 1511303236535139
102442	 1511303236637581
102400	 1511303236739981
102468	 1511303236842449
102340	 1511303236944789
102381	 1511303237047170
102350	 1511303237149520
102359	 1511303237251879
102326	 1511303237354205
102416	 1511303237456621
102644	 1511303237559265
