# /lscratch1/kbferre/app-traces/mutrino/broadcast/128/rank-000.txt
 delta	 tstmp
105341	 1511303267432032
100611	 1511303267532643
100784	 1511303267633427
100599	 1511303267734026
100599	 1511303267834625
100602	 1511303267935227
100625	 1511303268035852
100634	 1511303268136486
100647	 1511303268237133
100664	 1511303268337797
100676	 1511303268438473
100647	 1511303268539120
100674	 1511303268639794
100690	 1511303268740484
100659	 1511303268841143
100671	 1511303268941814
100671	 1511303269042485
100738	 1511303269143223
100666	 1511303269243889
100678	 1511303269344567
100672	 1511303269445239
100662	 1511303269545901
100671	 1511303269646572
100707	 1511303269747279
100681	 1511303269847960
100717	 1511303269948677
100674	 1511303270049351
100651	 1511303270150002
100695	 1511303270250697
100680	 1511303270351377
100688	 1511303270452065
100682	 1511303270552747
100681	 1511303270653428
100690	 1511303270754118
100695	 1511303270854813
100686	 1511303270955499
100698	 1511303271056197
100636	 1511303271156833
100671	 1511303271257504
100680	 1511303271358184
100669	 1511303271458853
100662	 1511303271559515
100687	 1511303271660202
100652	 1511303271760854
100680	 1511303271861534
100667	 1511303271962201
100645	 1511303272062846
100684	 1511303272163530
100689	 1511303272264219
100675	 1511303272364894
100671	 1511303272465565
100678	 1511303272566243
100690	 1511303272666933
100660	 1511303272767593
100697	 1511303272868290
100672	 1511303272968962
100669	 1511303273069631
100690	 1511303273170321
100670	 1511303273270991
100682	 1511303273371673
100668	 1511303273472341
100748	 1511303273573089
100686	 1511303273673775
100675	 1511303273774450
100713	 1511303273875163
100766	 1511303273975929
100778	 1511303274076707
100774	 1511303274177481
100752	 1511303274278233
100726	 1511303274378959
100746	 1511303274479705
100725	 1511303274580430
100630	 1511303274681060
100740	 1511303274781800
100742	 1511303274882542
100732	 1511303274983274
100766	 1511303275084040
100745	 1511303275184785
100735	 1511303275285520
100713	 1511303275386233
100745	 1511303275486978
100759	 1511303275587737
100753	 1511303275688490
100660	 1511303275789150
100736	 1511303275889886
100731	 1511303275990617
100719	 1511303276091336
100744	 1511303276192080
100742	 1511303276292822
100696	 1511303276393518
100737	 1511303276494255
100727	 1511303276594982
100764	 1511303276695746
100734	 1511303276796480
100684	 1511303276897164
100709	 1511303276997873
100749	 1511303277098622
100737	 1511303277199359
100718	 1511303277300077
100702	 1511303277400779
