# /lscratch1/kbferre/app-traces/mutrino/cth-st/128/rank-000.txt
 delta	 tstmp
1497	 1519431113954007
299	 1519431113954306
18743	 1519431113973049
23680	 1519431113996729
32	 1519431113996761
34	 1519431113996795
2073	 1519431113998868
60	 1519431113998928
11	 1519431113998939
9	 1519431113998948
7	 1519431113998955
950	 1519431113999905
15	 1519431113999920
300	 1519431114000220
11	 1519431114000231
68	 1519431114000299
8	 1519431114000307
12	 1519431114000319
8	 1519431114000327
48	 1519431114000375
7	 1519431114000382
7	 1519431114000389
8	 1519431114000397
603	 1519431114001000
5737	 1519431114006737
1772	 1519431114008509
5733	 1519431114014242
7058	 1519431114021300
51	 1519431114021351
11	 1519431114021362
8	 1519431114021370
7	 1519431114021377
14	 1519431114021391
9	 1519431114021400
11	 1519431114021411
7	 1519431114021418
9	 1519431114021427
7	 1519431114021434
10	 1519431114021444
8	 1519431114021452
21	 1519431114021473
8	 1519431114021481
7	 1519431114021488
7	 1519431114021495
23	 1519431114021518
46	 1519431114021564
9	 1519431114021573
10	 1519431114021583
7	 1519431114021590
12	 1519431114021602
8	 1519431114021610
9	 1519431114021619
7	 1519431114021626
8	 1519431114021634
9	 1519431114021643
10	 1519431114021653
7	 1519431114021660
11	 1519431114021671
8	 1519431114021679
7	 1519431114021686
7	 1519431114021693
140	 1519431114021833
466	 1519431114022299
15	 1519431114022314
693	 1519431114023007
53	 1519431114023060
9	 1519431114023069
8	 1519431114023077
9	 1519431114023086
13	 1519431114023099
8	 1519431114023107
10	 1519431114023117
7	 1519431114023124
8	 1519431114023132
7	 1519431114023139
12	 1519431114023151
8	 1519431114023159
11	 1519431114023170
7	 1519431114023177
8	 1519431114023185
7	 1519431114023192
576	 1519431114023768
787	 1519431114024555
843	 1519431114025398
55	 1519431114025453
11	 1519431114025464
7	 1519431114025471
8	 1519431114025479
7	 1519431114025486
329	 1519431114025815
13	 1519431114025828
8	 1519431114025836
7	 1519431114025843
8	 1519431114025851
7	 1519431114025858
7	 1519431114025865
9	 1519431114025874
8	 1519431114025882
7	 1519431114025889
7	 1519431114025896
7	 1519431114025903
585	 1519431114026488
276	 1519431114026764
121	 1519431114026885
114	 1519431114026999
24	 1519431114027023
10	 1519431114027033
7	 1519431114027040
526	 1519431114027566
10	 1519431114027576
39	 1519431114027615
7	 1519431114027622
8	 1519431114027630
7	 1519431114027637
7	 1519431114027644
7	 1519431114027651
7	 1519431114027658
9	 1519431114027667
7	 1519431114027674
7	 1519431114027681
7	 1519431114027688
7	 1519431114027695
7	 1519431114027702
7	 1519431114027709
9	 1519431114027718
7	 1519431114027725
7	 1519431114027732
8	 1519431114027740
7	 1519431114027747
7	 1519431114027754
7	 1519431114027761
9	 1519431114027770
116	 1519431114027886
113	 1519431114027999
1960	 1519431114029959
68	 1519431114030027
12	 1519431114030039
7	 1519431114030046
1675	 1519431114031721
18	 1519431114031739
423	 1519431114032162
11	 1519431114032173
10	 1519431114032183
7	 1519431114032190
2679	 1519431114034869
3146	 1519431114038015
18	 1519431114038033
65	 1519431114038098
7	 1519431114038105
7	 1519431114038112
14	 1519431114038126
2765	 1519431114040891
37	 1519431114040928
1734	 1519431114042662
4997	 1519431114047659
2175	 1519431114049834
18	 1519431114049852
15	 1519431114049867
7	 1519431114049874
11	 1519431114049885
7	 1519431114049892
256	 1519431114050148
622	 1519431114050770
14	 1519431114050784
8	 1519431114050792
7	 1519431114050799
7	 1519431114050806
10	 1519431114050816
138	 1519431114050954
17	 1519431114050971
244	 1519431114051215
127	 1519431114051342
292	 1519431114051634
13	 1519431114051647
17	 1519431114051664
7	 1519431114051671
10	 1519431114051681
7	 1519431114051688
282	 1519431114051970
640	 1519431114052610
13	 1519431114052623
9	 1519431114052632
7	 1519431114052639
7	 1519431114052646
10	 1519431114052656
134	 1519431114052790
16	 1519431114052806
243	 1519431114053049
1177	 1519431114054226
407	 1519431114054633
14	 1519431114054647
14	 1519431114054661
9	 1519431114054670
14	 1519431114054684
7	 1519431114054691
13	 1519431114054704
8	 1519431114054712
10	 1519431114054722
6	 1519431114054728
264	 1519431114054992
612	 1519431114055604
12	 1519431114055616
7	 1519431114055623
7	 1519431114055630
8	 1519431114055638
10	 1519431114055648
135	 1519431114055783
17	 1519431114055800
224	 1519431114056024
143	 1519431114056167
294	 1519431114056461
14	 1519431114056475
56	 1519431114056531
18	 1519431114056549
8	 1519431114056557
14	 1519431114056571
8	 1519431114056579
19	 1519431114056598
8	 1519431114056606
16	 1519431114056622
8	 1519431114056630
15	 1519431114056645
8	 1519431114056653
16	 1519431114056669
9	 1519431114056678
15	 1519431114056693
8	 1519431114056701
14	 1519431114056715
8	 1519431114056723
1108	 1519431114057831
235	 1519431114058066
14	 1519431114058080
119	 1519431114058199
114	 1519431114058313
1153	 1519431114059466
191	 1519431114059657
682	 1519431114060339
399	 1519431114060738
31	 1519431114060769
8	 1519431114060777
7	 1519431114060784
9	 1519431114060793
7	 1519431114060800
8	 1519431114060808
7	 1519431114060815
10	 1519431114060825
7	 1519431114060832
8	 1519431114060840
8	 1519431114060848
815	 1519431114061663
699	 1519431114062362
15	 1519431114062377
9	 1519431114062386
7	 1519431114062393
7	 1519431114062400
7	 1519431114062407
12	 1519431114062419
7	 1519431114062426
45	 1519431114062471
7	 1519431114062478
7	 1519431114062485
8	 1519431114062493
7	 1519431114062500
7	 1519431114062507
9	 1519431114062516
7	 1519431114062523
519	 1519431114063042
14	 1519431114063056
7	 1519431114063063
9	 1519431114063072
6	 1519431114063078
7	 1519431114063085
16	 1519431114063101
8	 1519431114063109
39	 1519431114063148
8	 1519431114063156
6	 1519431114063162
7	 1519431114063169
8	 1519431114063177
7	 1519431114063184
9	 1519431114063193
7	 1519431114063200
54	 1519431114063254
11	 1519431114063265
7	 1519431114063272
6	 1519431114063278
9	 1519431114063287
7	 1519431114063294
9	 1519431114063303
7	 1519431114063310
31	 1519431114063341
8	 1519431114063349
7	 1519431114063356
6	 1519431114063362
8	 1519431114063370
7	 1519431114063377
9	 1519431114063386
7	 1519431114063393
200	 1519431114063593
11	 1519431114063604
7	 1519431114063611
6	 1519431114063617
8	 1519431114063625
7	 1519431114063632
12	 1519431114063644
7	 1519431114063651
132	 1519431114063783
10	 1519431114063793
7	 1519431114063800
6	 1519431114063806
7	 1519431114063813
8	 1519431114063821
31	 1519431114063852
8	 1519431114063860
36	 1519431114063896
8	 1519431114063904
7	 1519431114063911
6	 1519431114063917
7	 1519431114063924
7	 1519431114063931
9	 1519431114063940
6	 1519431114063946
20	 1519431114063966
7	 1519431114063973
7	 1519431114063980
7	 1519431114063987
7	 1519431114063994
6	 1519431114064000
9	 1519431114064009
7	 1519431114064016
660	 1519431114064676
15	 1519431114064691
7	 1519431114064698
6	 1519431114064704
7	 1519431114064711
8	 1519431114064719
11	 1519431114064730
7	 1519431114064737
461	 1519431114065198
12	 1519431114065210
7	 1519431114065217
7	 1519431114065224
7	 1519431114065231
8	 1519431114065239
11	 1519431114065250
7	 1519431114065257
522	 1519431114065779
16	 1519431114065795
7	 1519431114065802
7	 1519431114065809
7	 1519431114065816
8	 1519431114065824
11	 1519431114065835
7	 1519431114065842
33	 1519431114065875
8	 1519431114065883
7	 1519431114065890
7	 1519431114065897
6	 1519431114065903
8	 1519431114065911
9	 1519431114065920
8	 1519431114065928
45	 1519431114065973
8	 1519431114065981
6	 1519431114065987
7	 1519431114065994
7	 1519431114066001
9	 1519431114066010
10	 1519431114066020
9	 1519431114066029
59	 1519431114066088
11	 1519431114066099
6	 1519431114066105
7	 1519431114066112
7	 1519431114066119
7	 1519431114066126
10	 1519431114066136
8	 1519431114066144
164	 1519431114066308
10	 1519431114066318
7	 1519431114066325
7	 1519431114066332
7	 1519431114066339
7	 1519431114066346
10	 1519431114066356
9	 1519431114066365
48	 1519431114066413
10	 1519431114066423
7	 1519431114066430
6	 1519431114066436
7	 1519431114066443
7	 1519431114066450
10	 1519431114066460
8	 1519431114066468
112	 1519431114066580
10	 1519431114066590
7	 1519431114066597
6	 1519431114066603
7	 1519431114066610
9	 1519431114066619
14	 1519431114066633
9	 1519431114066642
36	 1519431114066678
9	 1519431114066687
6	 1519431114066693
7	 1519431114066700
7	 1519431114066707
6	 1519431114066713
11	 1519431114066724
7	 1519431114066731
87	 1519431114066818
11	 1519431114066829
7	 1519431114066836
6	 1519431114066842
7	 1519431114066849
9	 1519431114066858
11	 1519431114066869
9	 1519431114066878
138	 1519431114067016
10	 1519431114067026
6	 1519431114067032
8	 1519431114067040
7	 1519431114067047
9	 1519431114067056
15	 1519431114067071
8	 1519431114067079
22	 1519431114067101
8	 1519431114067109
6	 1519431114067115
7	 1519431114067122
6	 1519431114067128
8	 1519431114067136
7	 1519431114067143
7	 1519431114067150
626	 1519431114067776
9	 1519431114067785
7	 1519431114067792
7	 1519431114067799
67	 1519431114067866
7	 1519431114067873
7	 1519431114067880
7	 1519431114067887
18	 1519431114067905
8	 1519431114067913
6	 1519431114067919
8	 1519431114067927
7	 1519431114067934
7	 1519431114067941
9	 1519431114067950
6	 1519431114067956
42	 1519431114067998
135	 1519431114068133
7	 1519431114068140
8	 1519431114068148
7	 1519431114068155
7	 1519431114068162
10	 1519431114068172
7	 1519431114068179
793	 1519431114068972
16	 1519431114068988
7	 1519431114068995
8	 1519431114069003
7	 1519431114069010
9	 1519431114069019
10	 1519431114069029
9	 1519431114069038
47	 1519431114069085
10	 1519431114069095
7	 1519431114069102
7	 1519431114069109
7	 1519431114069116
9	 1519431114069125
143	 1519431114069268
12	 1519431114069280
259	 1519431114069539
16	 1519431114069555
7	 1519431114069562
8	 1519431114069570
7	 1519431114069577
1546	 1519431114071123
15	 1519431114071138
23	 1519431114071161
8	 1519431114071169
12	 1519431114071181
8	 1519431114071189
17	 1519431114071206
8	 1519431114071214
1433	 1519431114072647
2569	 1519431114075216
57	 1519431114075273
11	 1519431114075284
8	 1519431114075292
7	 1519431114075299
14	 1519431114075313
8	 1519431114075321
11	 1519431114075332
8	 1519431114075340
12	 1519431114075352
8	 1519431114075360
11	 1519431114075371
7	 1519431114075378
11	 1519431114075389
9	 1519431114075398
8	 1519431114075406
7	 1519431114075413
121	 1519431114075534
130	 1519431114075664
27	 1519431114075691
680	 1519431114076371
51	 1519431114076422
8	 1519431114076430
6	 1519431114076436
394	 1519431114076830
13	 1519431114076843
14	 1519431114076857
7	 1519431114076864
75	 1519431114076939
11	 1519431114076950
408	 1519431114077358
14	 1519431114077372
14	 1519431114077386
8	 1519431114077394
33	 1519431114077427
12	 1519431114077439
34	 1519431114077473
9	 1519431114077482
12	 1519431114077494
7	 1519431114077501
31	 1519431114077532
10	 1519431114077542
26	 1519431114077568
10	 1519431114077578
7	 1519431114077585
8	 1519431114077593
7	 1519431114077600
803	 1519431114078403
460	 1519431114078863
11	 1519431114078874
424	 1519431114079298
305	 1519431114079603
7	 1519431114079610
16	 1519431114079626
11	 1519431114079637
7	 1519431114079644
950	 1519431114080594
110	 1519431114080704
12	 1519431114080716
21	 1519431114080737
48	 1519431114080785
9	 1519431114080794
9	 1519431114080803
7	 1519431114080810
13	 1519431114080823
8	 1519431114080831
11	 1519431114080842
8	 1519431114080850
9	 1519431114080859
7	 1519431114080866
11	 1519431114080877
7	 1519431114080884
11	 1519431114080895
9	 1519431114080904
8	 1519431114080912
7	 1519431114080919
505	 1519431114081424
121	 1519431114081545
987	 1519431114082532
15	 1519431114082547
10	 1519431114082557
7	 1519431114082564
7	 1519431114082571
9	 1519431114082580
7	 1519431114082587
8	 1519431114082595
285	 1519431114082880
47	 1519431114082927
9	 1519431114082936
8	 1519431114082944
7	 1519431114082951
27	 1519431114082978
10	 1519431114082988
23	 1519431114083011
11	 1519431114083022
20	 1519431114083042
9	 1519431114083051
25	 1519431114083076
9	 1519431114083085
25	 1519431114083110
10	 1519431114083120
9	 1519431114083129
8	 1519431114083137
116	 1519431114083253
658	 1519431114083911
527	 1519431114084438
119	 1519431114084557
1316	 1519431114085873
17	 1519431114085890
5391	 1519431114091281
554	 1519431114091835
509	 1519431114092344
126409	 1519431114218753
762	 1519431114219515
16	 1519431114219531
1810	 1519431114221341
8	 1519431114221349
1106	 1519431114222455
37	 1519431114222492
17	 1519431114222509
8	 1519431114222517
504	 1519431114223021
16	 1519431114223037
3141	 1519431114226178
14	 1519431114226192
14	 1519431114226206
8	 1519431114226214
58	 1519431114226272
11	 1519431114226283
3363	 1519431114229646
12	 1519431114229658
14	 1519431114229672
8	 1519431114229680
56	 1519431114229736
11	 1519431114229747
3135	 1519431114232882
14	 1519431114232896
421	 1519431114233317
53	 1519431114233370
44	 1519431114233414
11	 1519431114233425
122785	 1519431114356210
915	 1519431114357125
45	 1519431114357170
48	 1519431114357218
9	 1519431114357227
10	 1519431114357237
7	 1519431114357244
31	 1519431114357275
10	 1519431114357285
25	 1519431114357310
10	 1519431114357320
22	 1519431114357342
10	 1519431114357352
25	 1519431114357377
10	 1519431114357387
25	 1519431114357412
12	 1519431114357424
9	 1519431114357433
7	 1519431114357440
998	 1519431114358438
1592	 1519431114360030
51	 1519431114360081
9	 1519431114360090
10	 1519431114360100
7	 1519431114360107
13	 1519431114360120
8	 1519431114360128
9	 1519431114360137
8	 1519431114360145
8	 1519431114360153
9	 1519431114360162
10	 1519431114360172
8	 1519431114360180
11	 1519431114360191
7	 1519431114360198
9	 1519431114360207
7	 1519431114360214
1631	 1519431114361845
50	 1519431114361895
10	 1519431114361905
7	 1519431114361912
7	 1519431114361919
309	 1519431114362228
15	 1519431114362243
51	 1519431114362294
8	 1519431114362302
11	 1519431114362313
7	 1519431114362320
10	 1519431114362330
8	 1519431114362338
11	 1519431114362349
9	 1519431114362358
10	 1519431114362368
8	 1519431114362376
10	 1519431114362386
7	 1519431114362393
226	 1519431114362619
129	 1519431114362748
