# /lscratch1/kbferre/app-traces/mutrino/hpcg/128/rank-000.txt
 delta	 tstmp
892498	 1503712544976281
8970156	 1503712553946437
1092645	 1503712555039082
118736	 1503712555157818
180642	 1503712555338460
21591	 1503712555360051
2509	 1503712555362560
414	 1503712555362974
1337010	 1503712556699984
989933	 1503712557689917
181587	 1503712557871504
22493	 1503712557893997
963777	 1503712558857774
189213	 1503712559046987
22276	 1503712559069263
963757	 1503712560033020
188864	 1503712560221884
22881	 1503712560244765
963612	 1503712561208377
185955	 1503712561394332
22402	 1503712561416734
964367	 1503712562381101
187864	 1503712562568965
23531	 1503712562592496
963759	 1503712563556255
189033	 1503712563745288
23067	 1503712563768355
964695	 1503712564733050
189003	 1503712564922053
23056	 1503712564945109
964347	 1503712565909456
188861	 1503712566098317
23249	 1503712566121566
964506	 1503712567086072
189333	 1503712567275405
22225	 1503712567297630
964417	 1503712568262047
188863	 1503712568450910
22493	 1503712568473403
964280	 1503712569437683
188689	 1503712569626372
22904	 1503712569649276
963858	 1503712570613134
189272	 1503712570802406
21956	 1503712570824362
964019	 1503712571788381
189153	 1503712571977534
22253	 1503712571999787
964251	 1503712572964038
188936	 1503712573152974
21993	 1503712573174967
963528	 1503712574138495
188421	 1503712574326916
22576	 1503712574349492
964398	 1503712575313890
188578	 1503712575502468
22099	 1503712575524567
964469	 1503712576489036
188335	 1503712576677371
22179	 1503712576699550
963663	 1503712577663213
189058	 1503712577852271
22722	 1503712577874993
964177	 1503712578839170
188282	 1503712579027452
23087	 1503712579050539
963334	 1503712580013873
189316	 1503712580203189
21984	 1503712580225173
963973	 1503712581189146
189175	 1503712581378321
22262	 1503712581400583
964122	 1503712582364705
188084	 1503712582552789
22434	 1503712582575223
963680	 1503712583538903
189244	 1503712583728147
22379	 1503712583750526
964325	 1503712584714851
188525	 1503712584903376
22676	 1503712584926052
966366	 1503712585892418
188311	 1503712586080729
22370	 1503712586103099
963757	 1503712587066856
188818	 1503712587255674
22093	 1503712587277767
963823	 1503712588241590
188330	 1503712588429920
22195	 1503712588452115
963800	 1503712589415915
187230	 1503712589603145
23667	 1503712589626812
964014	 1503712590590826
189396	 1503712590780222
21247	 1503712590801469
963696	 1503712591765165
189422	 1503712591954587
22090	 1503712591976677
963856	 1503712592940533
188862	 1503712593129395
21962	 1503712593151357
963365	 1503712594114722
189155	 1503712594303877
22588	 1503712594326465
964093	 1503712595290558
188511	 1503712595479069
22260	 1503712595501329
963657	 1503712596464986
188309	 1503712596653295
22343	 1503712596675638
963985	 1503712597639623
189303	 1503712597828926
22207	 1503712597851133
963596	 1503712598814729
189445	 1503712599004174
21850	 1503712599026024
964297	 1503712599990321
190868	 1503712600181189
23879	 1503712600205068
965555	 1503712601170623
187950	 1503712601358573
22218	 1503712601380791
964057	 1503712602344848
188384	 1503712602533232
22646	 1503712602555878
963620	 1503712603519498
188939	 1503712603708437
22142	 1503712603730579
963951	 1503712604694530
188724	 1503712604883254
22471	 1503712604905725
964149	 1503712605869874
188734	 1503712606058608
22560	 1503712606081168
963135	 1503712607044303
189285	 1503712607233588
21931	 1503712607255519
963890	 1503712608219409
188674	 1503712608408083
22699	 1503712608430782
964172	 1503712609394954
188442	 1503712609583396
21589	 1503712609604985
963563	 1503712610568548
190364	 1503712610758912
20845	 1503712610779757
964118	 1503712611743875
188775	 1503712611932650
22317	 1503712611954967
964111	 1503712612919078
188914	 1503712613107992
21153	 1503712613129145
963858	 1503712614093003
189572	 1503712614282575
21139	 1503712614303714
978071	 1503712615281785
189143	 1503712615470928
21907	 1503712615492835
279253	 1503712615772088
20742	 1503712615792830
171558	 1503712615964388
18625	 1503712615983013
10985	 1503712615993998
178822	 1503712616172820
17572	 1503712616190392
10998	 1503712616201390
178778	 1503712616380168
17572	 1503712616397740
10981	 1503712616408721
178941	 1503712616587662
17708	 1503712616605370
10980	 1503712616616350
179058	 1503712616795408
17399	 1503712616812807
10842	 1503712616823649
179101	 1503712617002750
17715	 1503712617020465
10879	 1503712617031344
179022	 1503712617210366
17289	 1503712617227655
10912	 1503712617238567
178678	 1503712617417245
17752	 1503712617434997
10903	 1503712617445900
179367	 1503712617625267
17649	 1503712617642916
10932	 1503712617653848
179097	 1503712617832945
17917	 1503712617850862
10885	 1503712617861747
179116	 1503712618040863
17500	 1503712618058363
188737	 1503712618247100
19696	 1503712618266796
171801	 1503712618438597
18355	 1503712618456952
10863	 1503712618467815
179103	 1503712618646918
17690	 1503712618664608
10953	 1503712618675561
179337	 1503712618854898
17641	 1503712618872539
