# /lscratch1/kbferre/app-traces/mutrino/lmps-lj/128/rank-000.txt
 delta	 tstmp
26	 1363802139396950
13	 1363802139396963
11	 1363802139396974
12	 1363802139396986
10	 1363802139396996
27	 1363802139397023
11	 1363802139397034
12	 1363802139397046
11	 1363802139397057
12	 1363802139397069
11	 1363802139397080
11	 1363802139397091
10	 1363802139397101
16	 1363802139397117
11	 1363802139397128
15	 1363802139397143
11	 1363802139397154
13	 1363802139397167
11	 1363802139397178
11	 1363802139397189
10	 1363802139397199
15	 1363802139397214
11	 1363802139397225
20	 1363802139397245
10	 1363802139397255
13	 1363802139397268
11	 1363802139397279
45	 1363802139397324
12	 1363802139397336
45	 1363802139397381
12	 1363802139397393
776	 1363802139398169
13	 1363802139398182
403131	 1363802139801313
18393	 1363802139819706
2890	 1363802139822596
3406	 1363802139826002
19	 1363802139826021
27	 1363802139826048
12	 1363802139826060
11	 1363802139826071
12	 1363802139826083
3468	 1363802139829551
283191	 1363802140112742
12046	 1363802140124788
13506	 1363802140138294
27639	 1363802140165933
27666	 1363802140193599
35	 1363802140193634
14	 1363802140193648
12	 1363802140193660
32	 1363802140193692
11	 1363802140193703
21	 1363802140193724
11	 1363802140193735
11	 1363802140193746
10	 1363802140193756
15	 1363802140193771
11	 1363802140193782
16	 1363802140193798
11	 1363802140193809
11	 1363802140193820
11	 1363802140193831
24	 1363802140193855
12	 1363802140193867
242	 1363802140194109
56	 1363802140194165
31	 1363802140194196
28	 1363802140194224
40	 1363802140194264
40	 1363802140194304
30	 1363802140194334
11	 1363802140194345
33	 1363802140194378
11	 1363802140194389
18	 1363802140194407
11	 1363802140194418
3471	 1363802140197889
13858	 1363802140211747
5811237	 1363802146022984
16210	 1363802146039194
62	 1363802146039256
26	 1363802146039282
41	 1363802146039323
92	 1363802146039415
41963579	 1363802188002994
4316	 1363802188007310
43789866	 1363802231797176
5350	 1363802231802526
44292741	 1363802276095267
5058	 1363802276100325
44510710	 1363802320611035
5418	 1363802320616453
45332179	 1363802365948632
5861	 1363802365954493
790776	 1363802366745269
1050532	 1363802367795801
166	 1363802367795967
33	 1363802367796000
34	 1363802367796034
47	 1363802367796081
42	 1363802367796123
78	 1363802367796201
81	 1363802367796282
34	 1363802367796316
20	 1363802367796336
33	 1363802367796369
39	 1363802367796408
25	 1363802367796433
45	 1363802367796478
18	 1363802367796496
25	 1363802367796521
21	 1363802367796542
72	 1363802367796614
16	 1363802367796630
22	 1363802367796652
17	 1363802367796669
17	 1363802367796686
5883	 1363802367802569
56	 1363802367802625
19	 1363802367802644
18	 1363802367802662
19	 1363802367802681
49	 1363802367802730
107	 1363802367802837
15	 1363802367802852
