# /lscratch1/kbferre/app-traces/mutrino/lmps-snap/128/rank-000.txt
 delta	 tstmp
25	 1381462204834848
15	 1381462204834863
11	 1381462204834874
12	 1381462204834886
11	 1381462204834897
11	 1381462204834908
11	 1381462204834919
18	 1381462204834937
11	 1381462204834948
16	 1381462204834964
11	 1381462204834975
15	 1381462204834990
10	 1381462204835000
14	 1381462204835014
11	 1381462204835025
14	 1381462204835039
11	 1381462204835050
12	 1381462204835062
10	 1381462204835072
17	 1381462204835089
11	 1381462204835100
11	 1381462204835111
11	 1381462204835122
16	 1381462204835138
11	 1381462204835149
18	 1381462204835167
12	 1381462204835179
11	 1381462204835190
11	 1381462204835201
17	 1381462204835218
11	 1381462204835229
12	 1381462204835241
10	 1381462204835251
14	 1381462204835265
11	 1381462204835276
13	 1381462204835289
11	 1381462204835300
12	 1381462204835312
11	 1381462204835323
12	 1381462204835335
11	 1381462204835346
13	 1381462204835359
10	 1381462204835369
75	 1381462204835444
13	 1381462204835457
12	 1381462204835469
11	 1381462204835480
46	 1381462204835526
12	 1381462204835538
797	 1381462204836335
12	 1381462204836347
15	 1381462204836362
11	 1381462204836373
3475	 1381462204839848
639	 1381462204840487
87	 1381462204840574
186	 1381462204840760
8576	 1381462204849336
30	 1381462204849366
17	 1381462204849383
11	 1381462204849394
5332	 1381462204854726
4223	 1381462204858949
1492	 1381462204860441
204	 1381462204860645
12	 1381462204860657
13	 1381462204860670
11	 1381462204860681
27	 1381462204860708
11	 1381462204860719
29	 1381462204860748
11	 1381462204860759
12	 1381462204860771
10	 1381462204860781
15	 1381462204860796
11	 1381462204860807
56	 1381462204860863
13	 1381462204860876
12	 1381462204860888
11	 1381462204860899
12	 1381462204860911
11	 1381462204860922
11	 1381462204860933
11	 1381462204860944
1128	 1381462204862072
18	 1381462204862090
47545	 1381462204909635
26	 1381462204909661
11	 1381462204909672
13	 1381462204909685
11	 1381462204909696
11	 1381462204909707
11	 1381462204909718
25	 1381462204909743
11	 1381462204909754
11	 1381462204909765
11	 1381462204909776
15	 1381462204909791
11	 1381462204909802
11	 1381462204909813
11	 1381462204909824
17	 1381462204909841
11	 1381462204909852
100	 1381462204909952
569	 1381462204910521
153	 1381462204910674
260948	 1381462205171622
11431	 1381462205183053
234	 1381462205183287
304	 1381462205183591
138	 1381462205183729
287	 1381462205184016
430	 1381462205184446
392	 1381462205184838
589	 1381462205185427
408	 1381462205185835
17	 1381462205185852
39	 1381462205185891
11	 1381462205185902
12	 1381462205185914
11	 1381462205185925
13	 1381462205185938
11	 1381462205185949
11	 1381462205185960
11	 1381462205185971
531	 1381462205186502
285	 1381462205186787
366463314	 1381462571650101
1253296	 1381462572903397
50	 1381462572903447
853	 1381462572904300
406	 1381462572904706
63	 1381462572904769
49	 1381462572904818
3292397316	 1381465865302134
365672572	 1381466230974706
365605537	 1381466596580243
365746130	 1381466962326373
365647094	 1381467327973467
365570424	 1381467693543891
365770302	 1381468059314193
3661195816	 1381471720510009
366095689	 1381472086605698
366042644	 1381472452648342
366070843	 1381472818719185
365920798	 1381473184639983
365716728	 1381473550356711
3648062633	 1381477198419344
364089772	 1381477562509116
363814749	 1381477926323865
363715938	 1381478290039803
363781381	 1381478653821184
363768154	 1381479017589338
363235400	 1381479380824738
362964866	 1381479743789604
1088986254	 1381480832775858
282	 1381480832776140
24	 1381480832776164
778	 1381480832776942
400	 1381480832777342
23	 1381480832777365
2531199082	 1381483363976447
360698582	 1381483724675029
360481871	 1381484085156900
360278748	 1381484445435648
360195702	 1381484805631350
359890955	 1381485165522305
359519707	 1381485525042012
359432086	 1381485884474098
3586674582	 1381489471148680
357403305	 1381489828551985
357318177	 1381490185870162
357002431	 1381490542872593
356781951	 1381490899654544
356398357	 1381491256052901
356153034	 1381491612205935
356009115	 1381491968215050
3549901192	 1381495518116242
353826372	 1381495871942614
353557723	 1381496225500337
353362059	 1381496578862396
353102399	 1381496931964795
352716397	 1381497284681192
352525369	 1381497637206561
352320186	 1381497989526747
704288975	 1381498693815722
288	 1381498693816010
27	 1381498693816037
759	 1381498693816796
442	 1381498693817238
24	 1381498693817262
52	 1381498693817314
54	 1381498693817368
68	 1381498693817436
55	 1381498693817491
52	 1381498693817543
27	 1381498693817570
21	 1381498693817591
38	 1381498693817629
39	 1381498693817668
34	 1381498693817702
17	 1381498693817719
22	 1381498693817741
22	 1381498693817763
58	 1381498693817821
15	 1381498693817836
21	 1381498693817857
18	 1381498693817875
17	 1381498693817892
29	 1381498693817921
15	 1381498693817936
18	 1381498693817954
649	 1381498693818603
15	 1381498693818618
113	 1381498693818731
16	 1381498693818747
17	 1381498693818764
17	 1381498693818781
18	 1381498693818799
31	 1381498693818830
114	 1381498693818944
15	 1381498693818959
13	 1381498693818972
11	 1381498693818983
15	 1381498693818998
11	 1381498693819009
1016	 1381498693820025
115	 1381498693820140
