# /lscratch1/kbferre/app-traces/mutrino/lulesh/125/rank-000.txt
 delta	 tstmp
33825	 1503728493800238
23122	 1503728493823360
20073	 1503728493843433
19703	 1503728493863136
19904	 1503728493883040
20128	 1503728493903168
20094	 1503728493923262
19784	 1503728493943046
19776	 1503728493962822
20232	 1503728493983054
19815	 1503728494002869
20051	 1503728494022920
20173	 1503728494043093
19997	 1503728494063090
19898	 1503728494082988
19591	 1503728494102579
17570	 1503728494120149
18999	 1503728494139148
18890	 1503728494158038
19028	 1503728494177066
19963	 1503728494197029
21049	 1503728494218078
18316	 1503728494236394
19606	 1503728494256000
19623	 1503728494275623
20209	 1503728494295832
19451	 1503728494315283
19955	 1503728494335238
19988	 1503728494355226
21769	 1503728494376995
19900	 1503728494396895
17798	 1503728494414693
21118	 1503728494435811
18242	 1503728494454053
19655	 1503728494473708
20222	 1503728494493930
19355	 1503728494513285
18839	 1503728494532124
19766	 1503728494551890
19064	 1503728494570954
19576	 1503728494590530
19403	 1503728494609933
19187	 1503728494629120
20307	 1503728494649427
18631	 1503728494668058
18739	 1503728494686797
19735	 1503728494706532
19507	 1503728494726039
21702	 1503728494747741
19084	 1503728494766825
17370	 1503728494784195
21415	 1503728494805610
19520	 1503728494825130
17108	 1503728494842238
19417	 1503728494861655
19460	 1503728494881115
19158	 1503728494900273
19287	 1503728494919560
19518	 1503728494939078
19107	 1503728494958185
21076	 1503728494979261
16859	 1503728494996120
19902	 1503728495016022
20257	 1503728495036279
17487	 1503728495053766
19272	 1503728495073038
21676	 1503728495094714
17060	 1503728495111774
19165	 1503728495130939
19423	 1503728495150362
19033	 1503728495169395
18947	 1503728495188342
19666	 1503728495208008
18588	 1503728495226596
19280	 1503728495245876
18974	 1503728495264850
19347	 1503728495284197
19041	 1503728495303238
18980	 1503728495322218
21032	 1503728495343250
17945	 1503728495361195
18196	 1503728495379391
20686	 1503728495400077
17050	 1503728495417127
19004	 1503728495436131
19025	 1503728495455156
18996	 1503728495474152
19186	 1503728495493338
19880	 1503728495513218
17960	 1503728495531178
18487	 1503728495549665
19684	 1503728495569349
18869	 1503728495588218
18752	 1503728495606970
18982	 1503728495625952
20163	 1503728495646115
17444	 1503728495663559
18901	 1503728495682460
18596	 1503728495701056
18612	 1503728495719668
19093	 1503728495738761
18761	 1503728495757522
18349	 1503728495775871
19019	 1503728495794890
18704	 1503728495813594
19032	 1503728495832626
18349	 1503728495850975
18529	 1503728495869504
18338	 1503728495887842
19044	 1503728495906886
18311	 1503728495925197
19046	 1503728495944243
24813	 1503728495969056
18576	 1503728495987632
18189	 1503728496005821
18901	 1503728496024722
17961	 1503728496042683
19152	 1503728496061835
18348	 1503728496080183
18906	 1503728496099089
18123	 1503728496117212
18439	 1503728496135651
18868	 1503728496154519
18430	 1503728496172949
18574	 1503728496191523
18433	 1503728496209956
18523	 1503728496228479
18355	 1503728496246834
18463	 1503728496265297
18504	 1503728496283801
18098	 1503728496301899
18701	 1503728496320600
18188	 1503728496338788
18500	 1503728496357288
18441	 1503728496375729
17191	 1503728496392920
18335	 1503728496411255
18374	 1503728496429629
18440	 1503728496448069
18349	 1503728496466418
18395	 1503728496484813
18539	 1503728496503352
18350	 1503728496521702
18510	 1503728496540212
18376	 1503728496558588
18333	 1503728496576921
18391	 1503728496595312
18515	 1503728496613827
18624	 1503728496632451
18512	 1503728496650963
18455	 1503728496669418
