# /lscratch1/kbferre/app-traces/mutrino/mcck/125/rank-000.txt
 delta	 tstmp
44150	 1501221878351935
9	 1501221878351944
12293349	 1501221890645293
2513785	 1501221893159078
12530	 1501221893171608
6553300	 1501221899724908
5408103	 1501221905133011
8	 1501221905133019
8352939	 1501221913485958
1923507	 1501221915409465
26986	 1501221915436451
4767731	 1501221920204182
3789541	 1501221923993723
18	 1501221923993741
6077641	 1501221930071382
1284976	 1501221931356358
20454	 1501221931376812
3458097	 1501221934834909
2738389	 1501221937573298
10	 1501221937573308
4336374	 1501221941909682
932104	 1501221942841786
15286	 1501221942857072
2505724	 1501221945362796
1941734	 1501221947304530
10	 1501221947304540
3141265	 1501221950445805
635973	 1501221951081778
11301	 1501221951093079
1830771	 1501221952923850
1438325	 1501221954362175
8	 1501221954362183
2224656	 1501221956586839
419614	 1501221957006453
8493	 1501221957014946
1227961	 1501221958242907
1163478	 1501221959406385
9	 1501221959406394
1588362	 1501221960994756
322982	 1501221961317738
6413	 1501221961324151
984872	 1501221962309023
777296	 1501221963086319
10	 1501221963086329
1137035	 1501221964223364
215867	 1501221964439231
4838	 1501221964444069
716322	 1501221965160391
541391	 1501221965701782
7	 1501221965701789
815320	 1501221966517109
141157	 1501221966658266
3669	 1501221966661935
434507	 1501221967096442
494616	 1501221967591058
8	 1501221967591066
558124	 1501221968149190
123691	 1501221968272881
2531	 1501221968275412
355291	 1501221968630703
315738	 1501221968946441
16	 1501221968946457
375658	 1501221969322115
83896	 1501221969406011
1928	 1501221969407939
268724	 1501221969676663
223348	 1501221969900011
19	 1501221969900030
259819	 1501221970159849
62276	 1501221970222125
1398	 1501221970223523
185426	 1501221970408949
155813	 1501221970564762
15	 1501221970564777
174839	 1501221970739616
46269	 1501221970785885
1492	 1501221970787377
121604	 1501221970908981
132471	 1501221971041452
7	 1501221971041459
116131	 1501221971157590
33660	 1501221971191250
1745	 1501221971192995
82562	 1501221971275557
101082	 1501221971376639
12	 1501221971376651
82219	 1501221971458870
15647	 1501221971474517
1500	 1501221971476017
58190	 1501221971534207
63984	 1501221971598191
7	 1501221971598198
59586	 1501221971657784
9503	 1501221971667287
933	 1501221971668220
40636	 1501221971708856
51457	 1501221971760313
7	 1501221971760320
42158	 1501221971802478
4063	 1501221971806541
536	 1501221971807077
29048	 1501221971836125
26636	 1501221971862761
6	 1501221971862767
30413	 1501221971893180
2994	 1501221971896174
173	 1501221971896347
20373	 1501221971916720
18366	 1501221971935086
7	 1501221971935093
21917	 1501221971957010
1676	 1501221971958686
81	 1501221971958767
14320	 1501221971973087
10839	 1501221971983926
9	 1501221971983935
15601	 1501221971999536
861	 1501221972000397
66	 1501221972000463
10605	 1501221972011068
6160	 1501221972017228
8	 1501221972017236
11294	 1501221972028530
619	 1501221972029149
73	 1501221972029222
7725	 1501221972036947
4782	 1501221972041729
7	 1501221972041736
8164	 1501221972049900
493	 1501221972050393
59	 1501221972050452
5490	 1501221972055942
3281	 1501221972059223
8	 1501221972059231
5979	 1501221972065210
398	 1501221972065608
55	 1501221972065663
4244	 1501221972069907
2141	 1501221972072048
7	 1501221972072055
4223	 1501221972076278
399	 1501221972076677
56	 1501221972076733
2712	 1501221972079445
1964	 1501221972081409
7	 1501221972081416
3071	 1501221972084487
241	 1501221972084728
40	 1501221972084768
2123	 1501221972086891
1361	 1501221972088252
6	 1501221972088258
2203	 1501221972090461
208	 1501221972090669
39	 1501221972090708
1603	 1501221972092311
1068	 1501221972093379
7	 1501221972093386
1605	 1501221972094991
187	 1501221972095178
36	 1501221972095214
1221	 1501221972096435
689	 1501221972097124
7	 1501221972097131
1157	 1501221972098288
97	 1501221972098385
36	 1501221972098421
971	 1501221972099392
462	 1501221972099854
4	 1501221972099858
843	 1501221972100701
41	 1501221972100742
52	 1501221972100794
740	 1501221972101534
384	 1501221972101918
5	 1501221972101923
609	 1501221972102532
54	 1501221972102586
36	 1501221972102622
620	 1501221972103242
387	 1501221972103629
6	 1501221972103635
474	 1501221972104109
27	 1501221972104136
52	 1501221972104188
514	 1501221972104702
265	 1501221972104967
6	 1501221972104973
327	 1501221972105300
34	 1501221972105334
60	 1501221972105394
456	 1501221972105850
253	 1501221972106103
8	 1501221972106111
259	 1501221972106370
28	 1501221972106398
49	 1501221972106447
422	 1501221972106869
197	 1501221972107066
6	 1501221972107072
202	 1501221972107274
15	 1501221972107289
36	 1501221972107325
178	 1501221972107503
108	 1501221972107611
7	 1501221972107618
137	 1501221972107755
19	 1501221972107774
55	 1501221972107829
130	 1501221972107959
81	 1501221972108040
6	 1501221972108046
104	 1501221972108150
35	 1501221972108185
37	 1501221972108222
90	 1501221972108312
81	 1501221972108393
7	 1501221972108400
74	 1501221972108474
35	 1501221972108509
41	 1501221972108550
88	 1501221972108638
66	 1501221972108704
7	 1501221972108711
58	 1501221972108769
12	 1501221972108781
31	 1501221972108812
74	 1501221972108886
61	 1501221972108947
7	 1501221972108954
45	 1501221972108999
13	 1501221972109012
30	 1501221972109042
65	 1501221972109107
59	 1501221972109166
7	 1501221972109173
32	 1501221972109205
16	 1501221972109221
33	 1501221972109254
74	 1501221972109328
71	 1501221972109399
8	 1501221972109407
31	 1501221972109438
15	 1501221972109453
32	 1501221972109485
60	 1501221972109545
56	 1501221972109601
6	 1501221972109607
23	 1501221972109630
13	 1501221972109643
29	 1501221972109672
68	 1501221972109740
62	 1501221972109802
6	 1501221972109808
20	 1501221972109828
11	 1501221972109839
29	 1501221972109868
55	 1501221972109923
48	 1501221972109971
10	 1501221972109981
15	 1501221972109996
11	 1501221972110007
42	 1501221972110049
56	 1501221972110105
58	 1501221972110163
6	 1501221972110169
14	 1501221972110183
12	 1501221972110195
33	 1501221972110228
51	 1501221972110279
47	 1501221972110326
9	 1501221972110335
13	 1501221972110348
11	 1501221972110359
30	 1501221972110389
49	 1501221972110438
51	 1501221972110489
6	 1501221972110495
32	 1501221972110527
11	 1501221972110538
42	 1501221972110580
50	 1501221972110630
42	 1501221972110672
20	 1501221972110692
8	 1501221972110700
11	 1501221972110711
30	 1501221972110741
62	 1501221972110803
30	 1501221972110833
7	 1501221972110840
10	 1501221972110850
12	 1501221972110862
29	 1501221972110891
32	 1501221972110923
60	 1501221972110983
8	 1501221972110991
21	 1501221972111012
11	 1501221972111023
30	 1501221972111053
55	 1501221972111108
43	 1501221972111151
4	 1501221972111155
7	 1501221972111162
11	 1501221972111173
31	 1501221972111204
35	 1501221972111239
49	 1501221972111288
6	 1501221972111294
9	 1501221972111303
10	 1501221972111313
45	 1501221972111358
51	 1501221972111409
20	 1501221972111429
8	 1501221972111437
8	 1501221972111445
11	 1501221972111456
45	 1501221972111501
39	 1501221972111540
31	 1501221972111571
12	 1501221972111583
8	 1501221972111591
11	 1501221972111602
32	 1501221972111634
15	 1501221972111649
57	 1501221972111706
5	 1501221972111711
7	 1501221972111718
11	 1501221972111729
29	 1501221972111758
21	 1501221972111779
49	 1501221972111828
5	 1501221972111833
8	 1501221972111841
18	 1501221972111859
31	 1501221972111890
29	 1501221972111919
37	 1501221972111956
7	 1501221972111963
7	 1501221972111970
11	 1501221972111981
34	 1501221972112015
22	 1501221972112037
28	 1501221972112065
8	 1501221972112073
8	 1501221972112081
10	 1501221972112091
30	 1501221972112121
20	 1501221972112141
39	 1501221972112180
7	 1501221972112187
7	 1501221972112194
11	 1501221972112205
30	 1501221972112235
15	 1501221972112250
29	 1501221972112279
7	 1501221972112286
8	 1501221972112294
10	 1501221972112304
29	 1501221972112333
16	 1501221972112349
31	 1501221972112380
7	 1501221972112387
8	 1501221972112395
11	 1501221972112406
42	 1501221972112448
14	 1501221972112462
22	 1501221972112484
8	 1501221972112492
8	 1501221972112500
10	 1501221972112510
38	 1501221972112548
35	 1501221972112583
15	 1501221972112598
7	 1501221972112605
8	 1501221972112613
11	 1501221972112624
29	 1501221972112653
14	 1501221972112667
22	 1501221972112689
6	 1501221972112695
8	 1501221972112703
10	 1501221972112713
35	 1501221972112748
40	 1501221972112788
26	 1501221972112814
7	 1501221972112821
7	 1501221972112828
11	 1501221972112839
13	 1501221972112852
12	 1501221972112864
8	 1501221972112872
