# /lscratch1/kbferre/app-traces/mutrino/milc/128/rank-000.txt
 delta	 tstmp
713	 1504215485375641
904	 1504215485376545
139	 1504215485376684
18	 1504215485376702
18	 1504215485376720
7	 1504215485376727
100	 1504215485376827
7	 1504215485376834
7	 1504215485376841
10	 1504215485376851
66	 1504215485376917
7	 1504215485376924
6	 1504215485376930
17	 1504215485376947
7	 1504215485376954
7	 1504215485376961
7	 1504215485376968
6	 1504215485376974
9	 1504215485376983
34	 1504215485377017
8	 1504215485377025
7	 1504215485377032
13	 1504215485377045
6	 1504215485377051
7	 1504215485377058
7	 1504215485377065
6	 1504215485377071
10	 1504215485377081
30	 1504215485377111
7	 1504215485377118
7	 1504215485377125
8	 1504215485377133
14	 1504215485377147
7	 1504215485377154
11	 1504215485377165
7	 1504215485377172
7	 1504215485377179
14	 1504215485377193
37	 1504215485377230
10	 1504215485377240
10	 1504215485377250
26	 1504215485377276
10	 1504215485377286
9	 1504215485377295
10	 1504215485377305
10	 1504215485377315
13	 1504215485377328
46	 1504215485377374
12	 1504215485377386
10	 1504215485377396
22	 1504215485377418
10	 1504215485377428
10	 1504215485377438
11	 1504215485377449
10	 1504215485377459
15	 1504215485377474
32	 1504215485377506
6	 1504215485377512
7	 1504215485377519
14	 1504215485377533
23	 1504215485377556
11	 1504215485377567
8	 1504215485377575
8	 1504215485377583
6	 1504215485377589
9	 1504215485377598
23	 1504215485377621
6	 1504215485377627
7	 1504215485377634
18	 1504215485377652
7	 1504215485377659
6	 1504215485377665
7	 1504215485377672
6	 1504215485377678
9	 1504215485377687
27	 1504215485377714
8	 1504215485377722
7	 1504215485377729
12	 1504215485377741
7	 1504215485377748
6	 1504215485377754
7	 1504215485377761
6	 1504215485377767
14	 1504215485377781
42	 1504215485377823
10	 1504215485377833
10	 1504215485377843
11	 1504215485377854
24	 1504215485377878
10	 1504215485377888
11	 1504215485377899
20	 1504215485377919
19	 1504215485377938
14	 1504215485377952
38	 1504215485377990
26	 1504215485378016
9	 1504215485378025
29	 1504215485378054
10	 1504215485378064
8	 1504215485378072
7	 1504215485378079
7	 1504215485378086
9	 1504215485378095
32	 1504215485378127
8	 1504215485378135
7	 1504215485378142
12	 1504215485378154
7	 1504215485378161
6	 1504215485378167
7	 1504215485378174
6	 1504215485378180
11	 1504215485378191
27	 1504215485378218
6	 1504215485378224
7	 1504215485378231
8	 1504215485378239
14	 1504215485378253
7	 1504215485378260
7	 1504215485378267
7	 1504215485378274
7	 1504215485378281
9	 1504215485378290
23	 1504215485378313
6	 1504215485378319
7	 1504215485378326
30	 1504215485378356
30	 1504215485378386
18	 1504215485378404
11	 1504215485378415
9	 1504215485378424
14	 1504215485378438
47	 1504215485378485
13	 1504215485378498
10	 1504215485378508
22	 1504215485378530
10	 1504215485378540
9	 1504215485378549
11	 1504215485378560
10	 1504215485378570
15	 1504215485378585
45	 1504215485378630
14	 1504215485378644
10	 1504215485378654
9	 1504215485378663
36961	 1504215485415624
1490	 1504215485417114
5981	 1504215485423095
4203	 1504215485427298
8444	 1504215485435742
1123	 1504215485436865
6506	 1504215485443371
399	 1504215485443770
6076	 1504215485449846
733	 1504215485450579
5951	 1504215485456530
605	 1504215485457135
5902	 1504215485463037
