# /lscratch1/kbferre/app-traces/mutrino/miniFE/128/rank-000.txt
 delta	 tstmp
375	 1501354915099576
16	 1501354915099592
93	 1501354915099685
41	 1501354915099726
78966	 1501354915178692
47195	 1501354915225887
21040246	 1501354936266133
31835816	 1501354968101949
14429725	 1501354982531674
75260	 1501354982606934
9857	 1501354982616791
42	 1501354982616833
579546	 1501354983196379
485276	 1501354983681655
73063	 1501354983754718
451491	 1501354984206209
73355	 1501354984279564
453331	 1501354984732895
71785	 1501354984804680
451938	 1501354985256618
74673	 1501354985331291
454167	 1501354985785458
71619	 1501354985857077
451728	 1501354986308805
74454	 1501354986383259
453604	 1501354986836863
71899	 1501354986908762
452930	 1501354987361692
73498	 1501354987435190
454309	 1501354987889499
71721	 1501354987961220
453501	 1501354988414721
72927	 1501354988487648
454168	 1501354988941816
71903	 1501354989013719
452903	 1501354989466622
73944	 1501354989540566
452870	 1501354989993436
73086	 1501354990066522
453122	 1501354990519644
72074	 1501354990591718
453389	 1501354991045107
72862	 1501354991117969
453394	 1501354991571363
73348	 1501354991644711
450706	 1501354992095417
75092	 1501354992170509
450819	 1501354992621328
74448	 1501354992695776
450036	 1501354993145812
76176	 1501354993221988
453936	 1501354993675924
72113	 1501354993748037
450743	 1501354994198780
75112	 1501354994273892
454391	 1501354994728283
71795	 1501354994800078
451530	 1501354995251608
75098	 1501354995326706
453652	 1501354995780358
72045	 1501354995852403
450896	 1501354996303299
75400	 1501354996378699
453469	 1501354996832168
72302	 1501354996904470
452651	 1501354997357121
73486	 1501354997430607
454485	 1501354997885092
71303	 1501354997956395
453031	 1501354998409426
73613	 1501354998483039
454195	 1501354998937234
71139	 1501354999008373
453896	 1501354999462269
72843	 1501354999535112
452947	 1501354999988059
72768	 1501355000060827
452970	 1501355000513797
72966	 1501355000586763
453147	 1501355001039910
72824	 1501355001112734
453667	 1501355001566401
72566	 1501355001638967
452015	 1501355002090982
74085	 1501355002165067
453548	 1501355002618615
73315	 1501355002691930
452327	 1501355003144257
73220	 1501355003217477
455829	 1501355003673306
70377	 1501355003743683
450719	 1501355004194402
76271	 1501355004270673
455874	 1501355004726547
70089	 1501355004796636
449513	 1501355005246149
77825	 1501355005323974
455012	 1501355005778986
70186	 1501355005849172
450161	 1501355006299333
76378	 1501355006375711
454479	 1501355006830190
71011	 1501355006901201
451685	 1501355007352886
75026	 1501355007427912
455645	 1501355007883557
70305	 1501355007953862
452574	 1501355008406436
75042	 1501355008481478
453283	 1501355008934761
71510	 1501355009006271
452026	 1501355009458297
75698	 1501355009533995
452456	 1501355009986451
72930	 1501355010059381
451750	 1501355010511131
74157	 1501355010585288
453459	 1501355011038747
72726	 1501355011111473
453175	 1501355011564648
72304	 1501355011636952
452147	 1501355012089099
74431	 1501355012163530
454192	 1501355012617722
72069	 1501355012689791
449781	 1501355013139572
75830	 1501355013215402
456714	 1501355013672116
70208	 1501355013742324
461916	 1501355014204240
68873	 1501355014273113
457847	 1501355014730960
69258	 1501355014800218
449944	 1501355015250162
76778	 1501355015326940
455394	 1501355015782334
70266	 1501355015852600
449833	 1501355016302433
76207	 1501355016378640
453601	 1501355016832241
71813	 1501355016904054
451466	 1501355017355520
74429	 1501355017429949
455089	 1501355017885038
71237	 1501355017956275
451652	 1501355018407927
74738	 1501355018482665
454974	 1501355018937639
71010	 1501355019008649
451652	 1501355019460301
74916	 1501355019535217
453514	 1501355019988731
72191	 1501355020060922
451700	 1501355020512622
90446	 1501355020603068
454939	 1501355021058007
71271	 1501355021129278
452854	 1501355021582132
74733	 1501355021656865
452352	 1501355022109217
72518	 1501355022181735
452567	 1501355022634302
74931	 1501355022709233
451865	 1501355023161098
73107	 1501355023234205
454775	 1501355023688980
71541	 1501355023760521
451074	 1501355024211595
75534	 1501355024287129
453772	 1501355024740901
73046	 1501355024813947
449876	 1501355025263823
75899	 1501355025339722
453941	 1501355025793663
72266	 1501355025865929
