# /lscratch1/kbferre/app-traces/mutrino/reduce/128/rank-000.txt
 delta	 tstmp
110658	 1511303235620471
102855	 1511303235723326
102975	 1511303235826301
103060	 1511303235929361
102815	 1511303236032176
103142	 1511303236135318
103940	 1511303236239258
103381	 1511303236342639
103361	 1511303236446000
103441	 1511303236549441
103437	 1511303236652878
103497	 1511303236756375
103442	 1511303236859817
103449	 1511303236963266
103473	 1511303237066739
102934	 1511303237169673
102911	 1511303237272584
102916	 1511303237375500
102917	 1511303237478417
102896	 1511303237581313
102926	 1511303237684239
102943	 1511303237787182
102988	 1511303237890170
102959	 1511303237993129
102940	 1511303238096069
103117	 1511303238199186
102861	 1511303238302047
102963	 1511303238405010
103047	 1511303238508057
102899	 1511303238610956
102985	 1511303238713941
103006	 1511303238816947
103029	 1511303238919976
102861	 1511303239022837
102971	 1511303239125808
103002	 1511303239228810
102976	 1511303239331786
102987	 1511303239434773
102977	 1511303239537750
102973	 1511303239640723
102995	 1511303239743718
102952	 1511303239846670
102963	 1511303239949633
102986	 1511303240052619
102987	 1511303240155606
102961	 1511303240258567
102921	 1511303240361488
103012	 1511303240464500
102880	 1511303240567380
102973	 1511303240670353
102968	 1511303240773321
102985	 1511303240876306
102921	 1511303240979227
102916	 1511303241082143
102955	 1511303241185098
102954	 1511303241288052
102916	 1511303241390968
102895	 1511303241493863
102940	 1511303241596803
102963	 1511303241699766
102910	 1511303241802676
102954	 1511303241905630
102949	 1511303242008579
102939	 1511303242111518
102928	 1511303242214446
102928	 1511303242317374
102980	 1511303242420354
102903	 1511303242523257
102884	 1511303242626141
102927	 1511303242729068
102923	 1511303242831991
102859	 1511303242934850
102932	 1511303243037782
102919	 1511303243140701
102954	 1511303243243655
102855	 1511303243346510
102930	 1511303243449440
102894	 1511303243552334
102897	 1511303243655231
102890	 1511303243758121
102884	 1511303243861005
102933	 1511303243963938
102886	 1511303244066824
102869	 1511303244169693
102969	 1511303244272662
102937	 1511303244375599
102878	 1511303244478477
102952	 1511303244581429
102940	 1511303244684369
102897	 1511303244787266
102956	 1511303244890222
102922	 1511303244993144
102926	 1511303245096070
102928	 1511303245198998
102894	 1511303245301892
102902	 1511303245404794
102918	 1511303245507712
102899	 1511303245610611
103464	 1511303245714075
102895	 1511303245816970
