# /lscratch1/kbferre/app-traces/mutrino/sparc/128/rank-000.txt
 delta	 tstmp
8476	 1511283903825086
7767	 1511283903832853
3800	 1511283903836653
69	 1511283903836722
338	 1511283903837060
78	 1511283903837138
2328	 1511283903839466
2902	 1511283903842368
1167	 1511283903843535
38408	 1511283903881943
5441	 1511283903887384
181	 1511283903887565
92	 1511283903887657
59	 1511283903887716
89	 1511283903887805
123	 1511283903887928
95204	 1511283903983132
36163	 1511283904019295
75	 1511283904019370
780	 1511283904020150
297259	 1511283904317409
347037	 1511283904664446
3274	 1511283904667720
23	 1511283904667743
550	 1511283904668293
328036	 1511283904996329
30140	 1511283905026469
4887	 1511283905031356
1128426	 1511283906159782
1137569	 1511283907297351
26214	 1511283907323565
5914	 1511283907329479
4858	 1511283907334337
37	 1511283907334374
57	 1511283907334431
347	 1511283907334778
554	 1511283907335332
25	 1511283907335357
42	 1511283907335399
633810	 1511283907969209
1172705	 1511283909141914
13487	 1511283909155401
5058	 1511283909160459
971	 1511283909161430
36	 1511283909161466
47	 1511283909161513
38	 1511283909161551
60	 1511283909161611
481	 1511283909162092
514	 1511283909162606
632348	 1511283909794954
1140159	 1511283910935113
12933	 1511283910948046
4983	 1511283910953029
992	 1511283910954021
53	 1511283910954074
48	 1511283910954122
44	 1511283910954166
50	 1511283910954216
35	 1511283910954251
38	 1511283910954289
632492	 1511283911586781
1139916	 1511283912726697
12783	 1511283912739480
4964	 1511283912744444
989	 1511283912745433
41	 1511283912745474
54	 1511283912745528
48	 1511283912745576
47	 1511283912745623
63	 1511283912745686
29	 1511283912745715
633268	 1511283913378983
1138676	 1511283914517659
11824	 1511283914529483
5007	 1511283914534490
944	 1511283914535434
45	 1511283914535479
53	 1511283914535532
61	 1511283914535593
65	 1511283914535658
88	 1511283914535746
43	 1511283914535789
632071	 1511283915167860
1135028	 1511283916302888
2871	 1511283916305759
5021	 1511283916310780
801	 1511283916311581
105	 1511283916311686
47	 1511283916311733
76	 1511283916311809
71	 1511283916311880
88	 1511283916311968
76	 1511283916312044
632955	 1511283916944999
997832	 1511283917942831
11556	 1511283917954387
4925	 1511283917959312
474	 1511283917959786
50	 1511283917959836
55	 1511283917959891
52	 1511283917959943
65	 1511283917960008
107	 1511283917960115
46	 1511283917960161
633696	 1511283918593857
987871	 1511283919581728
12761	 1511283919594489
4945	 1511283919599434
379	 1511283919599813
77	 1511283919599890
61	 1511283919599951
45	 1511283919599996
71	 1511283919600067
54	 1511283919600121
91	 1511283919600212
633227	 1511283920233439
989111	 1511283921222550
11634	 1511283921234184
4979	 1511283921239163
387	 1511283921239550
69	 1511283921239619
72	 1511283921239691
86	 1511283921239777
52	 1511283921239829
77	 1511283921239906
80	 1511283921239986
633146	 1511283921873132
989155	 1511283922862287
12334	 1511283922874621
4933	 1511283922879554
432	 1511283922879986
74	 1511283922880060
50	 1511283922880110
101	 1511283922880211
73	 1511283922880284
68	 1511283922880352
42	 1511283922880394
633881	 1511283923514275
988336	 1511283924502611
12656	 1511283924515267
4953	 1511283924520220
429	 1511283924520649
57	 1511283924520706
69	 1511283924520775
44	 1511283924520819
83	 1511283924520902
83	 1511283924520985
62	 1511283924521047
633040	 1511283925154087
989188	 1511283926143275
12272	 1511283926155547
5039	 1511283926160586
409	 1511283926160995
78	 1511283926161073
82	 1511283926161155
63	 1511283926161218
100	 1511283926161318
43	 1511283926161361
66	 1511283926161427
633397	 1511283926794824
989986	 1511283927784810
11033	 1511283927795843
4997	 1511283927800840
488	 1511283927801328
79	 1511283927801407
58	 1511283927801465
80	 1511283927801545
86	 1511283927801631
80	 1511283927801711
79	 1511283927801790
633924	 1511283928435714
987824	 1511283929423538
12575	 1511283929436113
4951	 1511283929441064
455	 1511283929441519
82	 1511283929441601
100	 1511283929441701
46	 1511283929441747
77	 1511283929441824
107	 1511283929441931
111	 1511283929442042
633373	 1511283930075415
987694	 1511283931063109
11575	 1511283931074684
4972	 1511283931079656
421	 1511283931080077
53	 1511283931080130
128	 1511283931080258
93	 1511283931080351
113	 1511283931080464
54	 1511283931080518
113	 1511283931080631
634028	 1511283931714659
989307	 1511283932703966
12933	 1511283932716899
4978	 1511283932721877
