# CTH ST performance 
# 
# nodes         no-noise
128             235.311         235.18 235.18 235.182
256             235.426         235.319 235.377 235.401
512             235.853         235.514 235.545 235.577
1024            236.043         235.657 235.711 235.754
2048            236.246         235.87 235.923 235.965
4096            236.564         236.033 236.103 236.146
8192            236.794         236.237 236.288 236.335
16384           236.988         236.406 236.485 236.579
32768           237.187         236.614 236.67 236.731
65536           237.372         - - -
131072          237.564         - - -
