# LAMMPS LJ input performance
# 16 total runs per datapoint
#
# nodes no-noise
128     228.472         228.482 228.482 228.482
256     228.473         228.483 228.483 228.484
512     228.474         228.484 228.484 228.485
1024    228.475         228.485 228.485 228.486
2048    228.476         228.486 228.486 228.488
4096    228.476         228.487 228.487 228.488
8192    228.477         228.488 228.49 228.492
16384   228.478         228.49 228.492 228.495
32768   228.479         228.492 228.494 228.497
65536   228.48          228.494 228.497 228.5
131072  228.481         228.499 228.5 228.502
