# 
# MPI_Reduce microbenchmark
# 16 runs per datapoint
#
# nodes         
128             282.526         282.526 282.526 282.527
256             282.639         282.639 282.639 282.639
512             282.751         282.751 282.751 282.751
1024            282.864         282.864 282.864 282.865
2048            282.977         282.977 282.977 282.977
4096            283.09          283.09 283.09 283.09
8192            283.202         283.202 283.202 283.203
16384           283.315         283.315 283.315 283.316
32768           283.428         283.428 283.428 283.429
65536           283.541         283.541 283.541 283.541
131072          -               - - -
