# 
# 
# 16 runs per datapoint
#
# nodes         
64              47.3428         47.3427 47.3511 47.4755
128             47.4096         47.4206 47.4872 47.686
256             47.5113         47.525 47.6436 47.9204
512             47.6653         47.7951 47.9118 48.1933
1024            47.874          48.0069 48.468 49.322
2048            48.2265         48.62 49.4743 50.238
4096            48.8596         50.5321 51.5275 53.3418
8192            -               - - -
16384           -               - - -
32768           -               - - -
65536           -               - - -
131072          -               - - -
