# LAMMPS crack input performance 
# 16 total runs
# nodes         no-noise
64              49.42           49.4519 49.4931 49.5849
128             49.4804         49.5084 49.6014 49.7777
256             49.5634         49.5802 49.6899 49.9818
512             49.6485         49.6564 49.9792 50.3196
1024            49.7369         49.861 50.3064 50.7913
2048            49.8292         50.4645 51.0771 51.525
4096            49.9219         51.5027 52.5112 53.3396
8192            50.0112         53.9919 55.5485 57.3222
16384           50.1008         59.7136 61.6263 64.8432
32768           50.1915         73.337 76.5902 81.7205
65536           50.2725         - - -
131072          -               - - -
