# 
# miniFE application perfomrance
# 16 runs per datapoint
#
# nodes         
128             304.417         304.417 304.756 305.129
256             304.423         304.673 305.037 305.35
512             304.433         305.097 305.78 306.388
1024            304.44          305.947 307.031 308.022
2048            304.448         308.373 309.838 310.973
4096            304.456         313.572 314.702 316.409
8192            304.463         320.062 322.13 323.942
16384           304.471         331.254 333.492 335.227
32768           304.478         345.852 346.995 348.18
65536           304.488         357.591 358.741 359.901
131072          304.496         366.738 367.965 369.542
