# 
# MPI_Allreduce microbenchmark
#
# 16 runs per datapoint
#
# nodes         
128             281.602         281.624 281.63 281.64
256             281.899         282.046 282.054 282.062
512             282.196         282.489 282.502 282.52
1024            282.493         282.985 283 283.025
2048            282.79          283.576 283.612 283.638
4096            283.087         284.394 284.423 284.453
8192            283.383         285.588 285.628 285.688
16384           283.68          287.494 287.528 287.585
32768           -               - - -
65536           -               - - -
131072          -               - - -
