# Lulesh input performance
# 16 total runs per datapoint
#
# nodes no-noise
64      125.901         125.901 125.901 125.903
128     125.911         125.911 125.912 125.913
256     125.922         125.923 125.925 125.927
512     125.933         125.935 125.94 125.943
1024    125.943         125.956 125.959 125.963
2048    125.954         125.977 125.982 125.987
4096    125.964         126.009 126.012 126.017
8192    125.975         126.049 126.057 126.062
16384   125.986         126.113 126.122 126.135
32768   125.996         - - -
65536   -               - - -
131072  -               - - -
