# CTH ST performance 
# 
# nodes         no-noise
128             235.311         235.18 235.18 235.18
256             235.426         235.341 235.376 235.406
512             235.853         235.51 235.55 235.607
1024            236.043         235.637 235.69 235.732
2048            236.246         235.883 235.933 235.974
4096            236.564         236.069 236.116 236.163
8192            236.794         236.194 236.279 236.357
16384           236.988         236.442 236.486 236.537
32768           237.187         236.615 236.678 236.742
65536           237.372         - - -
131072          237.564         - - -
