# 
# miniFE application perfomrance
# 16 runs per datapoint
#
# nodes         
128             304.417         304.417 304.417 304.417
256             304.423         304.423 304.423 304.423
512             304.433         304.433 304.433 304.433
1024            304.44          304.44 304.44 304.44
2048            304.448         304.448 304.448 304.448
4096            304.456         304.456 304.456 304.457
8192            304.463         304.463 304.463 304.465
16384           304.471         304.471 304.472 304.474
32768           304.478         304.479 304.481 304.483
65536           304.488         304.488 304.49 304.492
131072          304.496         304.499 304.501 304.50
