# Lulesh input performance
# 16 total runs per datapoint
#
# nodes no-noise
64      125.901         125.901 125.917 126.031
128     125.911         125.911 125.967 126.169
256     125.922         125.922 125.985 126.187
512     125.933         125.933 126.081 126.426
1024    125.943         125.943 126.221 126.464
2048    125.954         126.092 126.466 127.106
4096    125.964         126.336 127.098 128.084
8192    125.975         127.229 128.06 129.14
16384   125.986         129.244 130.277 131.58
32768   125.996         - - -
65536   -               - - -
131072  -               - - -
