# 
# MPI_Reduce microbenchmark
# 16 runs per datapoint
#
# nodes         
128             282.526         282.526 282.546 282.635
256             282.639         282.639 282.676 282.772
512             282.751         282.751 282.785 282.876
1024            282.864         282.864 282.929 282.986
2048            282.977         282.977 283.03 283.093
4096            283.09          283.09 283.167 283.211
8192            283.202         283.246 283.313 283.333
16384           283.315         283.41 283.435 283.482
32768           283.428         283.52 283.551 283.56
65536           283.541         283.662 283.669 283.672
131072          -               - - -
