# 
# MPI_Allreduce microbenchmark
#
# 16 runs per datapoint
#
# nodes         
128             281.602         281.601 281.602 281.603
256             281.899         281.995 281.997 281.998
512             282.196         282.389 282.39 282.392
1024            282.493         282.784 282.785 282.786
2048            282.79          283.178 283.179 283.18
4096            283.087         283.572 283.575 283.577
8192            283.383         283.969 283.971 283.974
16384           283.68          284.769 284.771 284.774
32768           -               - - -
65536           -               - - -
131072          -               - - -
