# 
# 
# 16 runs per datapoint
#
# nodes         
64              47.3428         47.3428 47.3428 47.3429
128             47.4096         47.4193 47.4211 47.4221
256             47.5113         47.5244 47.5254 47.5274
512             47.6653         47.6634 47.6732 47.7964
1024            47.874          47.8747 47.876 47.8778
2048            48.2265         48.2254 48.2431 48.3594
4096            48.8596         48.8594 48.9099 49.1243
8192            -               - - -
16384           -               - - -
32768           -               - - -
65536           -               - - -
131072          -               - - -
