# LAMMPS crack input performance 
# 16 total runs
# nodes         no-noise
64              49.42           49.4519 49.4519 49.452
128             49.4804         49.5084 49.5102 49.5115
256             49.5634         49.5799 49.5902 49.7138
512             49.6485         49.6553 49.6563 49.6573
1024            49.7369         49.7282 49.7373 49.8616
2048            49.8292         49.8001 49.8088 49.9328
4096            49.9219         49.871 49.9214 50.1375
8192            50.0112         49.942 50.0257 50.3408
16384           50.1008         50.0131 50.2143 50.5438
32768           50.1915         50.2163 50.4256 50.7476
65536           50.2725         - - -
131072          -               - - -
