# LAMMPS LJ input performance
# 16 total runs per datapoint
#
# nodes no-noise
128     228.472         228.482 228.489 228.589
256     228.473         228.483 228.483 228.483
512     228.474         228.484 228.49 228.588
1024    228.475         228.485 228.526 228.853
2048    228.476         228.486 228.553 228.793 
4096    228.476         228.487 228.588 228.711 
8192    228.477         228.581 228.729 228.817
16384   228.478         228.721 228.886 229.03
32768   228.479         228.732 228.98 229.19
65536   228.48          229.048 229.095 229.199
131072  228.481         229.068 229.176 229.336
